Source,Target,Weight,Type
NAME:AHRENS|TJ,NAME:MURRAY|EJ,1,undirected
NAME:AHRENS|TJ,NAME:OGATA|K,1,undirected
NAME:AHRENS|TJ,OA:A5085055769,1,undirected
NAME:AHRENS|TJ,ORCID:0000-0001-7316-6835,1,undirected
NAME:AHRENS|TJ,ORCID:0000-0001-8220-5242,1,undirected
NAME:AHRENS|TJ,ORCID:0000-0001-9928-6587,1,undirected
NAME:AHRENS|TJ,ORCID:0000-0002-4173-9982,1,undirected
NAME:AHRENS|TJ,ORCID:0000-0002-4594-7914,1,undirected
NAME:AHRENS|TJ,ORCID:0000-0002-4908-2321,1,undirected
NAME:AHRENS|TJ,ORCID:0000-0002-5576-9736,1,undirected
"NAME:AKHTAR, SHAMIM",NAME:AKHTAR|MS,1,undirected
"NAME:AKHTAR, SHAMIM","NAME:ASHRAF, SHEIKH FARHAN",1,undirected
"NAME:AKHTAR, SHAMIM",NAME:ASHRAF|SF,1,undirected
"NAME:AKHTAR, SHAMIM",ORCID:0000-0001-6595-9288,1,undirected
"NAME:AKHTAR, SHAMIM",ORCID:0000-0002-0242-9156,1,undirected
"NAME:AKHTAR, SHAMIM",ORCID:0000-0003-3831-3275,1,undirected
NAME:AKHTAR|MS,"NAME:ASHRAF, SHEIKH FARHAN",1,undirected
NAME:AKHTAR|MS,NAME:ASHRAF|SF,1,undirected
NAME:AKHTAR|MS,ORCID:0000-0001-6595-9288,1,undirected
NAME:AKHTAR|MS,ORCID:0000-0002-0242-9156,1,undirected
NAME:AKHTAR|MS,ORCID:0000-0003-3831-3275,1,undirected
NAME:AKIB|H,NAME:CANTE|SR,1,undirected
NAME:AKIB|H,ORCID:0000-0001-9645-3546,1,undirected
NAME:AKIB|H,ORCID:0000-0002-0225-5088,1,undirected
NAME:AKIB|H,ORCID:0000-0003-3821-0583,1,undirected
NAME:AKPOANU|C,NAME:IBIDUNNI|AS,1,undirected
NAME:AKPOANU|C,NAME:NWONYE|J,1,undirected
NAME:AKPOANU|C,ORCID:0000-0001-5790-3508,1,undirected
NAME:AKPOANU|C,ORCID:0000-0002-8086-4460,1,undirected
NAME:AKYUREK|BK,NAME:DEMIRDIZEN|AC,1,undirected
NAME:AL ATRASH|SA,NAME:DALBAH|IY,1,undirected
NAME:AL ATRASH|SA,ORCID:0000-0001-9074-5564,1,undirected
NAME:AL GHWAYEEN|WS,ORCID:0000-0001-7909-8132,1,undirected
NAME:AL HAWARY|SI,NAME:ALMARSHAD|MN,1,undirected
NAME:AL HAWARY|SI,NAME:ALSHAER|SA,1,undirected
NAME:AL HAWARY|SI,NAME:ALSHALABI|FS,1,undirected
NAME:AL HAWARY|SI,NAME:ALTAHRAWI|MHA,1,undirected
NAME:AL HAWARY|SI,ORCID:0000-0002-5812-5573,1,undirected
NAME:AL HAWARY|SI,ORCID:0000-0002-6074-4269,1,undirected
NAME:AL HAWARY|SIS,NAME:ALATHAMNEH|FF,1,undirected
NAME:AL HAWARY|SIS,NAME:ALNEIMAT|S,1,undirected
NAME:AL HAWARY|SIS,ORCID:0000-0001-6156-9063,1,undirected
NAME:AL HAWARY|SIS,ORCID:0000-0001-9403-3476,1,undirected
NAME:AL HAWARY|SIS,ORCID:0000-0002-6156-2010,1,undirected
NAME:AL HAWARY|SIS,ORCID:0000-0002-6914-2213,1,undirected
NAME:AL HAWARY|SIS,ORCID:0000-0003-1568-2860,1,undirected
NAME:ALAJRAMI|E,NAME:ALASHQAR|BAM,1,undirected
NAME:ALAJRAMI|E,ORCID:0000-0002-7677-8279,1,undirected
NAME:ALAJRAMI|E,ORCID:0000-0002-8656-5541,1,undirected
NAME:ALASHQAR|BAM,ORCID:0000-0002-7677-8279,1,undirected
NAME:ALASHQAR|BAM,ORCID:0000-0002-8656-5541,1,undirected
NAME:ALATHAMNEH|FF,NAME:ALNEIMAT|S,1,undirected
NAME:ALATHAMNEH|FF,ORCID:0000-0001-6156-9063,1,undirected
NAME:ALATHAMNEH|FF,ORCID:0000-0001-9403-3476,1,undirected
NAME:ALATHAMNEH|FF,ORCID:0000-0002-6156-2010,1,undirected
