ClusterID,PersonID,AuthorFullName,Orcid,OpenAlexAuthorID,Articles,EmailDomain
CLUSTER:GOETZ GREVE,ORCID:0000-0002-5600-4356,"GOETZ, GREVE",https://orcid.org/0000-0002-5600-4356,https://openalex.org/A5047230387,1,
CLUSTER:DAVID GRANT,ORCID:0000-0002-5602-5640,"DAVID, GRANT",https://orcid.org/0000-0002-5602-5640,https://openalex.org/A5027387690,1,
CLUSTER:JAN KRATZER,ORCID:0000-0002-5605-5938,"JAN, KRATZER",https://orcid.org/0000-0002-5605-5938,https://openalex.org/A5056137697,1,
CLUSTER:BARD TRONVOLL,ORCID:0000-0002-5605-9285,"BARD, TRONVOLL",https://orcid.org/0000-0002-5605-9285,https://openalex.org/A5085701288,1,
CLUSTER:A BONILLA CLAUDIO,ORCID:0000-0002-5607-4127,"CLAUDIO, A. BONILLA",https://orcid.org/0000-0002-5607-4127,https://openalex.org/A5046536663,1,
CLUSTER:EHRENHARD MICHEL,ORCID:0000-0002-5608-9628,"MICHEL, EHRENHARD",https://orcid.org/0000-0002-5608-9628,https://openalex.org/A5022594991,1,
CLUSTER:AN WENWEN,ORCID:0000-0002-5609-2886,"WENWEN, AN",https://orcid.org/0000-0002-5609-2886,https://openalex.org/A5080653828,1,
CLUSTER:LISHCHINSKY ORLY SHAPIRA,ORCID:0000-0002-5611-5638,"ORLY, SHAPIRA‐LISHCHINSKY",https://orcid.org/0000-0002-5611-5638,https://openalex.org/A5068130329,1,
CLUSTER:BROWN J TOM,ORCID:0000-0002-5611-896X,"TOM, J. BROWN",https://orcid.org/0000-0002-5611-896X,https://openalex.org/A5014800888,1,
CLUSTER:D HALL JOHN,ORCID:0000-0002-5613-3318,"JOHN, D. HALL",https://orcid.org/0000-0002-5613-3318,https://openalex.org/A5058576641,1,
CLUSTER:A GERMAN OSORIO ZULUAGA,ORCID:0000-0002-5613-5858,"GERMAN, A. OSORIO-ZULUAGA",https://orcid.org/0000-0002-5613-5858,https://openalex.org/A5082156645,1,
CLUSTER:AGAG GOMAA,ORCID:0000-0002-5617-630X,"GOMAA, AGAG",https://orcid.org/0000-0002-5617-630X,https://openalex.org/A5016299072,1,
CLUSTER:CROSSAN MARY,ORCID:0000-0002-5635-3978,"MARY, CROSSAN",https://orcid.org/0000-0002-5635-3978,https://openalex.org/A5084686451,1,
CLUSTER:JOHANSON MARTIN,ORCID:0000-0002-5639-2408,"MARTIN, JOHANSON",https://orcid.org/0000-0002-5639-2408,https://openalex.org/A5106227690,4,
CLUSTER:PAUL WHITELEY,ORCID:0000-0002-5640-9476,"PAUL, WHITELEY",https://orcid.org/0000-0002-5640-9476,https://openalex.org/A5022112305,1,
CLUSTER:FRANZISKA SCHMID,ORCID:0000-0002-5641-7433,"FRANZISKA, SCHMID",https://orcid.org/0000-0002-5641-7433,https://openalex.org/A5083652351,2,
CLUSTER:ANGELS DASI,ORCID:0000-0002-5641-9017,"ANGELS, DASI",https://orcid.org/0000-0002-5641-9017,https://openalex.org/A5060473051,2,
CLUSTER:HANEEN MOHAMMAD SHOAIB,ORCID:0000-0002-5642-9629,"HANEEN, MOHAMMAD SHOAIB",https://orcid.org/0000-0002-5642-9629,https://openalex.org/A5016894772,2,
CLUSTER:JORDAN K LOFTHOUSE,ORCID:0000-0002-5643-2799,"JORDAN, K. LOFTHOUSE",https://orcid.org/0000-0002-5643-2799,https://openalex.org/A5063468450,1,
