OriginalPersonID,GlobalPersonID,AuthorFullName,Orcid,OpenAlexAuthorIDs
ORCID:0000-0001-5071-3349,ORCID:0000-0001-5071-3349,"DANA‐NICOLETA, LASCU",https://orcid.org/0000-0001-5071-3349,https://openalex.org/A5043975863
ORCID:0000-0001-5072-5518,ORCID:0000-0001-5072-5518,QIAN WANG,https://orcid.org/0000-0001-5072-5518,
ORCID:0000-0001-5075-0270,ORCID:0000-0001-5075-0270,"DAVID, CONRADSON",https://orcid.org/0000-0001-5075-0270,https://openalex.org/A5110154513
ORCID:0000-0001-5075-5899,ORCID:0000-0001-5075-5899,"JINTONG, TANG",https://orcid.org/0000-0001-5075-5899,https://openalex.org/A5020660469
ORCID:0000-0001-5077-0183,ORCID:0000-0001-5077-0183,NAFTALY MOSE,https://orcid.org/0000-0001-5077-0183,
ORCID:0000-0001-5079-5911,ORCID:0000-0001-5079-5911,"FAISAL, AHMED",https://orcid.org/0000-0001-5079-5911,https://openalex.org/A5091374655
ORCID:0000-0001-5080-2755,ORCID:0000-0001-5080-2755,"RENATO, DE OLIVEIRA MORAES",https://orcid.org/0000-0001-5080-2755,https://openalex.org/A5073195813
ORCID:0000-0001-5081-4086,ORCID:0000-0001-5081-4086,GORDON W. CHEUNG,https://orcid.org/0000-0001-5081-4086,
ORCID:0000-0001-5085-5056,ORCID:0000-0001-5085-5056,FRANCESCO ROSATI,https://orcid.org/0000-0001-5085-5056,
ORCID:0000-0001-5090-8840,ORCID:0000-0001-5090-8840,"CATARINA, MARQUES SANTOS",https://orcid.org/0000-0001-5090-8840,https://openalex.org/A5079524990
ORCID:0000-0001-5092-4082,ORCID:0000-0001-5092-4082,SIU YIN CHEUNG,https://orcid.org/0000-0001-5092-4082,
ORCID:0000-0001-5092-6811,ORCID:0000-0001-5092-6811,YI-TING YANG,https://orcid.org/0000-0001-5092-6811,
ORCID:0000-0001-5092-7259,ORCID:0000-0001-5092-7259,"OSUANYI, QUAICOO ESSEL",https://orcid.org/0000-0001-5092-7259,https://openalex.org/A5070209408
