SR,SR_ref
"MILES M, 2015, J STRATEG MARK","HILLS GE, 1992, ENTREPRENEURSHIP THEORY AND PRACTICE"
"MILES M, 2015, J STRATEG MARK","HILLS GE, 1981, J SMALL BUS MANAGE"
"MILES M, 2015, J STRATEG MARK","HILLS GE, 2008, J SMALL BUS MANAGE"
"MILES M, 2015, J STRATEG MARK","HULBERT B, 2012, INT BUSINESS REV"
"MILES M, 2015, J STRATEG MARK","HULTMAN C, 1999, JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP"
"MILES M, 2015, J STRATEG MARK","HULTMAN CM, 2003, J MARKET THEORY PRAC"
"MILES M, 2015, J STRATEG MARK","HULTMAN CM, 2002, EM GROWTH SMALL FIRM"
"MILES M, 2015, J STRATEG MARK","HUNT SD, 2010, MARKETING THEORY: FOUNDATIONS"
"MILES M, 2015, J STRATEG MARK","KAISH S, 1991, J BUS VENTURING"
"MILES M, 2015, J STRATEG MARK","KASOUF CJ, 2009, J RES MARK ENTREP"
"MILES M, 2015, J STRATEG MARK","KEEFE LISAM, 2004, MARKETING NEWS"
"MILES M, 2015, J STRATEG MARK","KESKIN H, 2006, EUR J INNOV MANAG"
"MILES M, 2015, J STRATEG MARK","KIRZNER ISRAEL, 1979, PERCEPTION OPPORTUNI"
"MILES M, 2015, J STRATEG MARK","KOTLER P, 2015, MARKETING MANAGEMENT"
"MILES M, 2015, J STRATEG MARK","KURATKO D, 2004, ENTREPRENEURSHIP: THEORY"
"MILES M, 2015, J STRATEG MARK","KURATKO DF, 2009, BUS HORIZONS"
"MILES M, 2015, J STRATEG MARK","KWAK H, 2013, J MARKET THEORY PRAC"
"MILES M, 2015, J STRATEG MARK","LAMPRINOPOULOU C, 2009, AC MARK C LEEDS 6 9"
"MILES M, 2015, J STRATEG MARK","LUMPKIN GT, 1996, ACAD MANAGE REV"
"MILES M, 2015, J STRATEG MARK","MATSUNO K, 2002, J MARKETING"
"MILES M, 2015, J STRATEG MARK","MCCARTHY EJ, 1993, BASIC MARKETING: A GLOBAL-MANAGERIAL APPROACH"
"MILES M, 2015, J STRATEG MARK","MCDOUGALL P P, 1994, STRATEGIC MANAGEMENT"
"MILES M, 2015, J STRATEG MARK","MCDOUGALL PP, 2000, ACAD MANAGE J"
"MILES M, 2015, J STRATEG MARK","MEYER G, 2002, STRATEGIC ENTREPRENEURSHIP: CREATING NEW MINDSET"
"MILES M, 2015, J STRATEG MARK","MILES MP, 2006, EUR J MARKETING"
"MILES M, 2015, J STRATEG MARK","MILES MORGANP, 1991, ENTREPRENEURSHIP THEORY AND PRACTICE"
"MILES M, 2015, J STRATEG MARK","MINTZBERG H, 1973, CALIF MANAGE REV"
"MILES M, 2015, J STRATEG MARK","MINTZBERG H, 1978, MANAGE SCI"
"MILES M, 2015, J STRATEG MARK","MORRIS MH, 1987, J BUS VENTURING"
"MILES M, 2015, J STRATEG MARK","MORRIS MH, 2002, J MARKET THEORY PRAC"
"MILES M, 2015, J STRATEG MARK","MORRISH SC, 2010, J STRATEG MARK"
"MILES M, 2015, J STRATEG MARK","MORT GS, 2012, EUR J MARKETING"
"MILES M, 2015, J STRATEG MARK","MURRAY J, 1981, INDUSTRIAL MARKETING MANAGEMENT"
"MILES M, 2015, J STRATEG MARK","NASUTION HN, 2011, IND MARKET MANAG"
"MILES M, 2015, J STRATEG MARK","O'CASS A, 2012, J STRATEG MARK"
"MILES M, 2015, J STRATEG MARK","O'CASS A, 2011, IND MARKET MANAG"
"MILES M, 2015, J STRATEG MARK","O'CASS A, 2009, EUR J MARKETING"
"MILES M, 2015, J STRATEG MARK","O'DONNELL A, 2002, J STRATEGIC MARKETIN"
"MILES M, 2015, J STRATEG MARK","O'DWYER M, 2009, EUR J MARKETING"
"MILES M, 2015, J STRATEG MARK","READ S, 2009, J MARKETING"
"MILES M, 2015, J STRATEG MARK","RICHART CB, 1997, ENTREPRENEURSHIP THEORY ANDPRACTICE"
"MILES M, 2015, J STRATEG MARK","ROCKS S, 2005, J STRATEG MARK"
"MILES M, 2015, J STRATEG MARK","RUDNER RICHARD, 1966, PHILOSOPHY OF SOCIAL SCIENCE"
"MILES M, 2015, J STRATEG MARK","SARASON Y, 2006, J BUS VENTURING"
"MILES M, 2015, J STRATEG MARK","SARASVATHY SD, 2001, ACAD MANAGE REV"
"MILES M, 2015, J STRATEG MARK","SCBINDEBUTTE M, 2008, J SMALL BUS MANAGE"
"MILES M, 2015, J STRATEG MARK","SHANE S, 2000, ACAD MANAGE REV"
"MILES M, 2015, J STRATEG MARK","SHANE SA, 2003, A GENERAL THEORY OF ENTREPRENEURSHIP: THE INDIVIDUAL-OPPORTUNITY NEXUS"
"MILES M, 2015, J STRATEG MARK","SHAW E, 2000, ENTERPRISE AND SMALL BUSINESS"
"MILES M, 2015, J STRATEG MARK","SHAW E, 2012, ENTERPRISE SMALL BUS"
"MILES M, 2015, J STRATEG MARK","SHETH G, 1988, MARKETING THEORY EVO"
